author,Hauptgenre_Avg,GenreWechsel_Avg,Differenz,Wechsel_besser,total_books,switch_books,main_genre_books,main_genre
Anne Perry,3.898235294117647,3.61,-0.2882352941176469,False,18,1,17,Mystery
Anne Rice,3.65,3.9699999999999998,0.31999999999999984,True,4,2,2,Fantasy
Anne Rivers Siddons,3.715,3.86,0.14500000000000002,True,11,1,10,Fiction
"Annie Barrows,Sophie Blackall",4.154,4.12,-0.03399999999999981,False,6,1,5,Childrens
Annie Dillard,4.12,3.9225000000000003,-0.1974999999999998,False,6,4,2,Nonfiction
Annie West,3.6966666666666668,3.8099999999999996,0.11333333333333284,True,5,2,3,Category Romance
Anonymous,4.1,4.36,0.2600000000000007,True,14,10,4,Religion
Anthony Burgess,3.65,4.08,0.43000000000000016,True,4,1,3,Fiction
Anthony Horowitz,4.025,3.953333333333333,-0.07166666666666721,False,5,3,2,Young Adult
Antonia Fraser,3.8175,3.615,-0.20249999999999968,False,10,2,8,History
Antonio Buero Vallejo,3.783333333333333,4.04,0.2566666666666668,True,4,1,3,European Literature
Antã³Nio Lobo Antunes,3.9466666666666668,3.8000000000000003,-0.1466666666666665,False,9,3,6,Cultural
Anya Bast,3.9133333333333336,3.4,-0.5133333333333336,False,4,1,3,Romance
Ariel Tachna,3.69,3.76,0.06999999999999984,True,7,2,5,Romance
Arlene James,3.8379999999999996,3.766666666666667,-0.07133333333333258,False,8,3,5,Category Romance
Art Spiegelman,4.1866666666666665,4.21,0.023333333333333428,True,5,2,3,Sequential Art
Arthur C. Clarke,3.9435714285714285,3.936666666666666,-0.006904761904762413,False,17,3,14,Science Fiction
Arthur C. Danto,4.056,3.69,-0.3660000000000001,False,6,1,5,Art
Arthur Conan Doyle,4.07,4.015000000000001,-0.054999999999999716,False,7,2,5,Classics
Astrid Lindgren,4.115,4.003333333333333,-0.11166666666666725,False,7,3,4,Childrens
Atsuko Asano,4.48,4.38,-0.10000000000000053,False,7,3,4,Science Fiction
Avi,3.706666666666667,3.69,-0.01666666666666705,False,6,3,3,Historical
